cDjM4EYlT_w,UCdlEXiVLTEvA280oyMvr8Kw,1250000,2019-11-09T17:01:17.000Z,23,1130,2556369
caHku_YVuOw,UCJ5v_MCY6GNUBTO8-D3XoAg,50900000,2019-11-09T03:26:22.000Z,17,72,357389
nzVLzhS-E88,UCWJ2lWNubArHWmf3FIHbfcQ,12300000,2019-11-09T04:43:08.000Z,17,585,76660
HvFqncchQRk,UC4LeRw7pIZ_kseS4Krn_DQA,173000,2019-11-09T21:54:55.000Z,17,245,139237
vD6Vxp15kxI,UCEY1ejsweY4DgMwOVJeEaBA,8150000,2019-11-09T20:28:04.000Z,24,137,172621
Bhw9W64ntmg,UCBJeMCIeLQos7wacox4hmLQ,3520000,2019-11-09T20:00:28.000Z,17,253,1146551
5S_bD6x_Dk0,UC5M_h2S8Ldoc9M6f7B-_m6A,6730000,2019-11-09T15:00:00.000Z,24,369,170898
emRercvCw0s,UCWJ2lWNubArHWmf3FIHbfcQ,12300000,2019-11-09T04:58:35.000Z,17,568,60452
TFh1x84lfAs,UC_JQGBtA7P0RwkRxd7xpJcA,503000,2019-11-09T19:15:02.000Z,17,110,80719
g8OfYYziIio,UCgwv23FVv3lqh567yagXfNg,16400000,2019-11-09T01:00:02.000Z,10,123,459407
wDREGbfywvk,UCoQBJMzcwmXrRSHBFAlTsIw,145000,2019-11-09T10:39:59.000Z,25,363,1690102
9sXm2dUeCT4,UCgwv23FVv3lqh567yagXfNg,16400000,2019-11-09T01:00:00.000Z,10,88,621383
n7hzomuDEIk,UCW39zufHfsuGgpLviKh297Q,1010000,2019-11-09T19:00:09.000Z,27,2546,243450
GK_i7MV1b-A,UChFsYLqPUyLiZnfRog6wiZA,1440000,2019-11-09T10:00:02.000Z,24,842,168285
pzm39hC5KUg,UCBi2mrWuNuyYy4gbM6fU18Q,6860000,2019-11-09T16:53:11.000Z,25,533,48064
jDgg6dRl0L8,UCJFp8uSYCjXOMnkUyb3CQ3Q,16700000,2019-11-09T20:00:07.000Z,26,225,171929
DXARg0lAyvU,UC6AG81pAkf6Lbi_1VC5NmPA,124000,2019-11-09T10:22:26.000Z,25,316,1897484
WN1yCigL3Hk,UCH4BNI0-FOK2dMXoFtViWHw,2990000,2019-11-09T14:32:17.000Z,27,600,195418
ZKolQhy3i6w,UCgwv23FVv3lqh567yagXfNg,16400000,2019-11-09T01:00:05.000Z,10,209,284068
